Salgo de #VeoTV  que da ms largoooooo...,neu
@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,neu
@marodriguezb Gracias MAR,pos
Off pensando en el regalito Sinde la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento),neg
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,pos
RT @FabHddzC: Si amas a alguien djalo libre. Si grita ese hombre es mo era @paurubio...,neu
Toca @crackoviadeTV3 . Grabacin dl especial Navideo...Mari crismas!,pos
Hoy asisitir en Madrid a un seminario sobre la Estrategia Espaola de Seguridad organizado por FAES.,neu
Buen da todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podra ser un da para la grandeza humana.,pos
Desde el escao. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb,pos
Bdas. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo ms.,pos
Un sistema econmico q recorta dinero para prestaciones sociales y refuerza con billn y medio d euros a los bancos no necesita repensarse?,pos
#programascambiados caca d ajuste,neg
Buen viernes,pos
@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre GRACIAS POR EL BUEN RATO AMIGOS!!;),pos
Noooooos das! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto en 7 minutos vestida y maleta hecha. Que habr metido Dios mio!?,neu
Vamos a por el viernes (@ Ayuntamiento de Mlaga) [pic]: http://t.co/lzDVsoCu,neu
La Universidad confa en De la Calle para encarar sus retos ms ambiciosos http://t.co/7dzPPija,pos
Me ayudis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el ltimo consejo de ministros http://t.co/Qao9uvsG,pos
abcdesevilla.es: Recio no tiene indicios potentes para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ,neg
abcdesevilla.es: Cuatro altos cargos de Empleo denunciados por retirar la prejubilacin a extrabajadores http://t.co/LWHxzbuB,neg
La marcha atrs del PP en posponer devolucin CCAA es un resbaln. Debera asumir fallo y no mentir diciendo que no conoce estado cuentas,neg
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,neg
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 aos herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre va @EmergenciasMad,neg
La verdadera seriedad es cmica. Niall Binns retrata a Nicanor Parra premio Cervantes. http://t.co/AxYtQ1by,pos
#FF a ti que deseas desesperadamente hacerme #FF pero no lo haces por el qu dirn.,neg
Mis #FF xa @merpastor x volver a sonrer a @GFVara x ser tan autentico a @24horas_rne x su subidn y a @CarmendelRiego x su victoria,pos
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,pos
#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,pos
Hasta ahora los filsofos han tratado de comprender el mundo; de lo que se trata sin embargo es de cambiarlo,neu
Open Master Class@javiersolana &Pedro Alonso on Global Health Challenges&Global Governance@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB .,neu
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,pos
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,neg
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos aos denuncindolo. http://t.co/gsDGB8NV,neg
No se ha aprobado la ley Sinde,neg
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,neu
Mucho nimo hoy para La Armada!! Espero que podis brindarnos la quinta Copa Davis!! MUCHA SUERTE!!! http://t.co/WHsk2vv6,pos
Blanco ministro portavoz en funciones desacredita de forma rotunda al pte del PSE Jess Eguiguren:no sabe de lo que habla no es cierto,neg
Desgraciadamente el paro en Espaa sigue creciendo. Madrid va mejorando con 8.000 cotizantes ms y 4.000 desempleados menos.,neg
En el blog: Defender la solidaridad http://t.co/8sDDYC8j,neu
#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,pos
Qu graciosos los laicos socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!,neg
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE,neu
El protocolo de IU supone aportar parte del salario pero no renunciar al seguro de vida accidente y a la prestacin social complementaria,neu
El post de hoy en mi blog http://t.co/nzhcgrxn,neu
Me encanta ver por aqui  a @TuDNIe ;-)),pos
si estn por Valencia Espaa les recomiendo esta exposicin !! http://t.co/hkjRpj9b,pos
La gran noche de los abanderados 2.0 - La Opinin de Mlaga http://t.co/yYu7uXtH,neu
@martacerame: @maria_rey Amigaaaaa!!!!! holaaaa guapaaaa!,pos
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarn. Parece que todos lo estn menos l,neg
firma de discos martes 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA,neu
El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG,pos
Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1,neu
Ya salio el sorteo de la eurocopa 2012: espaa italia croacia e irlanda. A por ellos!!!!!,neu
Granado reconoce que da los datos de paro con objetividad por estar en interinidad. Y antes? @TelediarioInter 20:30,neg
Corazn parto: Espaa e Irlanda se enfrentarn en la Eurocopa.,neg
Transparencia Internacional Espaa ocupa n. 31 en ranking 182 pdetrs Detrs de Chipre Emiratos Arabes Qatar...urge ley transparencia ya,neg
RT @FanClubMASes: stas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv,pos
Crisis de identidad? RT @LoidaLois @EvaORegan T eres espaola por encima de todo!!!,neg
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32,pos
Cospedal debera pedir perdn por mentir y utilizar de forma demaggica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,neg
As me gusta Mnica @moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.,pos
Eso es amigos. RT @HombresSanzeros: @AlejandroSanz #NavidadSanzeraSolidaria Todos a comprar (cont) http://t.co/y4OUji31,neu
Hace cinco meses el PP me comunic por escrito que su interlocutor preferente era IU. Ello le permiti gobernar. Ahora pide consensos.,pos
Bienvenidos a la Brigada anti-Vara pero esta regin tiene un problema ms. IU deja tirado a Monago 5 meses despus de su nombramiento.,neg
@GFVara la ley del embudo...caracterstica de la derecha espaola. Animo,neg
Eso no es cierto nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz   POR QE!!! (cont) http://t.co/7DyF7Sus,pos
Espaa se pone a 1 punto de ganar su quinta Davis.Sevilla d nuevo talismn.Maana22h @giraldatv.es http://t.co/Ns8tOZqR,pos
Bueno: Espaa a un punto de ganar la 5 Copa Davis. Felicidades al equipo!!!,pos
Durante la campaa Cospedal deca lo que oa en casa ahora ya hace lo que oye en casa. http://t.co/caqPmxJM,neu
@SSantiagosegura @angyfdz @flofdez BORRADO EST AMIGUETES!! UN ABRUZO!!;),pos
Para nadaaaa... Sabeis que no es asi. A veces no coincidimos es todo. Os mando mucho carioRT (cont) http://t.co/NWQIgoK5,pos
Adis al da en el q casi ha culminado el destape dl Estado de Bienestar? q nos va a quedar despus d q se lo gastasen casi todo,neg
Auan apeich agromenauer...Lucas Grijander y su progenitor... http://t.co/q957CpTB,neu
La risa ilumina las almas que estn baadas de tristeza la sonrisa es la tibia caricia para la helada soledadW.H. Patrick,pos
